year,segment,value,source
2020,Domestic,1.1805,AJA Anime Industry Report 2021
2021,Domestic,1.4288,AJA Anime Industry Report 2022
2022,Domestic,1.4685,AJA Anime Industry Report 2023
2023,Domestic,1.6243,AJA Anime Industry Report 2024
2024,Domestic,1.6705,AJA Anime Industry Report 2025
2020,Overseas,1.2394,AJA Anime Industry Report 2021
2021,Overseas,1.3134,AJA Anime Industry Report 2022
2022,Overseas,1.4592,AJA Anime Industry Report 2023
2023,Overseas,1.7222,AJA Anime Industry Report 2024
2024,Overseas,2.1702,AJA Anime Industry Report 2025
